% This ascii file defines the sigma_sample values for the various SNIa survey samples, applied both in the data filtering and in the fitting process (for details, see Suzuki et al., ApJ 746, 1, 85, 24 (2012); e-print: https://arxiv.org/abs/1105.3470). The file contains the following columns:
% Column #1 - an integer number from 1-19 indicating which survey sample the SNIa data was taken from. The names of the surveys are listed in a reversed order in Figure 3 of Suzuki et al. 2012.
% Column #2 - values of sigma_sample for the different surveys. The starting value is sigma_sample=0.15 for all surveys. The values are then recalculated in an iterative process after each fit, until the fitting process converges to a stable set of parameters and sigma_sample values.
%
% Credits: 
% Peter Raffai, Gergely Dalya, Alexandra Karsai; 
% Institute of Physics, Eotvos Lorand University, H-1117 Budapest, Pazmany P. s. 1/A.
% All rights reserved. (2021)
% Contact: peter.raffai@ttk.elte.hu
%
% Survey no.	sigma_sample
1	0.15	
2	0.15	
3	0.15	
4	0.15	
5	0.15	
6	0.15	
7	0.15	
8	0.15	
9	0.15	
10	0.15	
11	0.15	
12	0.15	
13	0.15	
14	0.15	
15	0.15	
16	0.15	
17	0.15	
18	0.15	
19	0.15	
